city,Year,Value
אשדוד,2017,50.5
אשקלון,2017,39.73
באר שבע,2017,39.26
בית שמש,2017,26.3
בני ברק,2017,43.2
בת ים,2017,33.1
חולון,2017,43.96
חיפה,2017,50.26
ירושלים,2017,34.07
כפר סבא,2017,70.97
נתניה,2017,52.27
פתח תקווה,2017,51.87
ראשון לציון,2017,73.71
רחובות,2017,39.36
רמת גן,2017,48.9
תל אביב-יפו,2017,60.48
אשדוד,2018,57.11
אשקלון,2018,47.9
באר שבע,2018,42.27
בית שמש,2018,40.81
בני ברק,2018,41.26
בת ים,2018,40.88
חולון,2018,54.8
חיפה,2018,53.51
ירושלים,2018,37.03
כפר סבא,2018,77.13
נתניה,2018,59.42
פתח תקווה,2018,49.34
ראשון לציון,2018,64.55
רחובות,2018,47.37
רמת גן,2018,59.56
תל אביב-יפו,2018,56.35
אשדוד,2019,56.97
אשקלון,2019,47.13
באר שבע,2019,43.04
בית שמש,2019,35.64
בני ברק,2019,41.1
בת ים,2019,35.38
חולון,2019,57.72
חיפה,2019,52.12
ירושלים,2019,35.42
כפר סבא,2019,72.66
נתניה,2019,66.03
פתח תקווה,2019,53.55
ראשון לציון,2019,70.32
רחובות,2019,44.44
רמת גן,2019,66.36
תל אביב-יפו,2019,65.77
אשדוד,2020,62.57
אשקלון,2020,50.18
באר שבע,2020,55.26
בית שמש,2020,55.65
בני ברק,2020,40.03
בת ים,2020,42.6
חולון,2020,58.15
חיפה,2020,57.44
ירושלים,2020,51.87
כפר סבא,2020,88.46
נתניה,2020,60.41
פתח תקווה,2020,67.14
ראשון לציון,2020,71.11
רחובות,2020,63.73
רמת גן,2020,55.35
תל אביב-יפו,2020,70.14
